PRCP ID,Comment Score,Reason
1001046349,0.35,"CCtx only, H0038 top code, review by PS Mgr, moderate risk."
1001053540,0.2,"3B - national contract, supervisory protocol, low risk."
1001055577,0.3,"ORC for billing others, decreased long days, closed case, low to moderate risk."
1001058893,0.25,"Audit results satisfactory, no current patterns, low risk."
1001060016,0.4,"States and add-ons, APRN, Happier Living case, moderate risk."
1001060037,0.3,"States and add-ons, some low billing, no long days, low to moderate risk."
1001061359,0.45,"No note in PLINX, predominance of HCPC codes, sending to PM Manager, moderate risk."
1001062037,0.2,"Reviewed with AVP, no issues, low risk."
1001062463,0.35,"CCtx and add-ons, all IP some dementia, pass, low to moderate risk."
1001070334,0.2,"Open to Gayna, then closed, low risk."
1001076582,0.4,"States, add-ons, no current long days, moderate risk."
1001089154,0.45,"Predominantly H codes, triggered for long days, frequency issues, moderate risk."
1001090102,0.4,"Add-on codes, telehealth, slightly long days, moderate risk."
1001095277,0.2,"Data mining, no patterns of concern, low risk."
1001108011,0.3,"H code billing, reviewed by PS team, low to moderate risk."
1001124675,0.45,"Billing includes Swer under Health Connect America, review needed, moderate risk."
1001128652,0.2,"Oon SW billing mainly HCPCS codes, intervention completed, low risk."
1001133520,0.5,"MD in FL, longer current days, E/Ms and 90833, moderate risk."
1001133971,0.4,"Billing for HCPC codes, MS billing, pass for now, moderate risk."
1001135533,0.35,"APRN in FL, add on codes, telehealth, closing case, low to moderate risk."
1001140195,0.25,"Billing for others due to rostering issues, addressed at group level, low risk."
1001147800,0.45,"SW in WI, long days, telehealth, reassessment needed, moderate risk."
1001158842,0.55,"APRN in FL, long days, states, add-ons, ORC to be scheduled, moderate to high risk."
1001165229,0.3,"Crisis addon codes, closing case from a priority standpoint, low to moderate risk."
1001165693,0.4,"SW in IL, telehealth, 12 and 13-hour days, moderate risk."
1001168092,0.45,"Open to Gayna, flag request resubmitted, needs staffing, moderate risk."
1001178902,0.35,"MSW in MA, mostly Medicaid, crisis codes, moderate risk."
1001193054,0.25,"CCtx, all H0038, low risk."
1001203707,0.5,"Problems with frequency of billing, actionable, moderate risk."
1006265690,0.2,"Only minimal EDW billing, low risk."
1007605173,0.3,"Only HCPC billing, sent to AVP for review, low to moderate risk."
1000739956,0.3,"ORC completed, long days decreased, some Medicare billing, closed case, low to moderate risk."
1000739988,0.35,"SW in IL, older long days, some one-offs, supervising, low to moderate risk."
1000741100,0.45,"In scheduling, long days, exposure at 2 TINS, moderate risk."
1000741578,0.2,"Billing under 3 TIN's, majority billing out of scope for outpatient team, low risk."
1000743691,0.4,"Tip for billing for others, closing case until SPs reviewed, moderate risk."
1000748043,0.3,"Supervisory protocol may have been in play, no patterns of concern, low to moderate risk."
1000758689,0.35,"MD in MS, long days in different states, last service in Nov, low to moderate risk."
1000760011,0.25,"Case closing, issues corrected, low risk."
1000764834,0.45,"Billing HCPC codes at a 3B, reviewing for appropriateness, moderate risk."
1000769341,0.2,"Open-SP case, holding, low risk."
1000824719,0.4,"SW in KY, HCPCs billing, review by TJ, moderate risk."
1000826898,0.3,"Longer days only issue, closing case due to SP changes, low to moderate risk."
1000827953,0.45,"Telehealth only, longer days, reviewing for ORC, moderate risk."
1000828837,0.25,"Triggered for different states, ER work and crisis intervention, low risk."
1000839568,0.55,"Non-MD codes and add-ons, longer days, need to review billing, moderate to high risk."
1000842502,0.2,"Billing H2036 TG, reviewed for appropriateness, pass, low risk."
1000844862,0.3,"Majority billing Medica, telehealth pattern, pass, low to moderate risk."
1000847210,0.4,"ORC completed, triggers addressed, monitoring needed, moderate risk."
1000852610,0.25,"ORC for inappropriate documentation, closing case, low risk."
1000853294,0.35,"Triggered for states and add-ons, no significant pattern, low to moderate risk."
1000853449,0.3,"Case passed, primary concern addressed, low to moderate risk."
1000855787,0.5,"Open to Gayna, auditing in progress, moderate risk."
1000856493,0.4,"LCSW in KY, CC tx, predominantly HCPC billing, moderate risk."
1000865035,0.45,"Cross billing and concurrent tx, primary billing H0038, moderate risk."
1000869153,0.35,"LCSW in RI, long days likely supervising, pass, low to moderate risk."
1000871688,0.3,"Long days explained by TMS and spravato, pass, low to moderate risk."
1000877160,0.45,"Billing detox under a 3B, needs review by PS team, moderate risk."
1000893225,0.2,"Primarily billing H0004, no other patterns, low risk."
1000893774,0.4,"Sent to KY PS for review, HCPC codes, moderate risk."
1000901041,0.5,"Case open to TJ Bolton, outreach occurring, moderate risk."
1000902221,0.55,"Triggered for long days, actionable, open and send to committee, moderate to high risk."
1000906390,0.3,"MD in KY, long days trigger, MAT provider, pass, low to moderate risk."
1000911075,0.25,"2I SOL Mental Health, scheduling in process, low risk."
1000911083,0.3,"MSW in AL, billing in Alaska, low risk due to state discrepancy."
1000911234,0.35,"MD with some non-MD codes, not a significant pattern, low to moderate risk."
1000911436,0.2,"Triggered for long days and states, no long days, very low utilization, low risk."
1000913822,0.2,"IA completed, no intervention, low risk."
1000915367,0.3,"MD in FL, all E/M, no add-on, mostly telehealth, pass, low to moderate risk."
1000920455,0.25,"Only trigger different states, previous ORC, closed case, low risk."
1000921534,0.3,"Long days skewed by H codes, billing appears appropriate, low to moderate risk."
1000925404,0.45,"MD in FL, triggered for states and add-ons, needs re-check, moderate risk."
1000927044,0.4,"Open to Gayna, ORC addressed add-ons and long days, moderate risk."
1000928283,0.25,"RI, 3B, codes all OP CPT, telehealth, case closed, low risk."
1000929550,0.3,"Lifestance exposure, triggered for states, no significant frequency, pass, low to moderate risk."
1000929844,0.2,"Tip received, HCPC billing, no OP codes pattern, pass, low risk."
1000940369,0.25,"Majority claims at 3B group level, consulted for billing appropriateness, pass, low risk."
1000949283,0.3,"Long days expected due to supervision, HCPCS codes, pass, low to moderate risk."
1000950427,0.2,"RI, all H codes for Methadone Mnt, low risk."
1000965022,0.25,"MD in KY, majority billing SUD RTC H0011, out of scope for PM, low risk."
1000972630,0.5,"ORC to Gayna, PNI referral, moderate risk."
