PRCP ID, Identified Features
1000019745, "$ Crisis Add On Pd, % $ Pd Crisis Add On, Crisis Add On Pt Cnt, Crisis Add On Vst Cnt"
1000040019, "$ Diff State Treat Pd, % $ Pd Diff State Treat, Diff State Treat Pt Cnt, Diff State Treat Vst Cnt, $ Non-MD CPT Pd, % $ Pd Non-MD CPT, Non-MD CPT Pt Cnt, Non-MD CPT Vst Cnt, State (FL), Provider Type (MD)"
1000057290, "Psychother Add On E/M Pt Cnt, Psychother Add On E/M Vst Cnt, $ Psychother Add On E/M Pd, % $ Pd Psychother Add On E/M"
1000061733, "$ Non-MD CPT Pd, % $ Pd Non-MD CPT, Non-MD CPT Pt Cnt, Non-MD CPT Vst Cnt, Improvement noted (possibly affecting multiple features)"
1000089256, "$ >8 Hour/Day Days Pd, % Days >8 Hour/Day"
1000110101, "Provider Type (PHD), Top HCPC (H0015)"
1000111750, "No recent billing (affects multiple billing-related features)"
1000111835, "Psych testing, % Pt Psychother Add On E/M, Psychother Add On E/M Pt Cnt, State (WI)"
1000134212, "Psych testing, % Pt Crisis Add On, Crisis Add On Pt Cnt, Case open (affects multiple features)"
1000146589, "Case status open (affects multiple features)"
1000168187, "Billing patterns, Add ons and EMS (affects multiple features)"
1000176304, "Out of scope for PM-ASAM (affects multiple features)"
1000207812, "Non MD codes, Potential incident to (affects multiple features)"
1000208203, "Primarily IP services (affects multiple features)"
1000210248, "High complexity e/m, Non traditional MD, Telemental health services (affects multiple features)"
1000211683, "Mostly telehealth, Group reviewed (affects multiple features)"
1000220734, "MD in GA, Telehealth, Long days (affects multiple features)"
1000221952, "Minimal non-MD codes, Individual PPA (affects multiple features)"
1000222531, "Longer days, Supervisory Protocol (affects multiple features)"
1000226224, "MD RI, Multidisciplinary group, IP (affects multiple features)"
1000230849, "Information sent to PS (affects multiple features)"
1000233953, "Billing for others, Large practice (affects multiple features)"
1000236938, "MD in RI, Addressed for prior provider (affects multiple features)"
1000242087, "EDW claims, MD in GA, Group open (affects multiple features)"
1000247842, "MD in FL, Provider doing mostly E/M (affects multiple features)"
1000249243, "Flag in place, Multiple TINS (affects multiple features)"
1000249319, "MD RI, Recovery Connections, Lifespan PPA (affects multiple features)"
1000250184, "MD in FL, Select provider (affects multiple features)"
1000251675, "Flag placed, Case should be closed (affects multiple features)"
1000251748, "MD in FL, Elite DNA (affects multiple features)"
1000255202, "MD in FL, Primarily IP (affects multiple features)"
1000257540, "MD in WI, Group PPA (affects multiple features)"
1000259428, "Closed current case (affects multiple features)"
1000263971, "ORC / auditing (affects multiple features)"
1000264204, "ORC, Case open (affects multiple features)"
1000268046, "Staffed with AVP and mgr (affects multiple features)"
1000272889, "Open also to Gayna, ORC scheduled (affects multiple features)"
1000273339, "Open to Gayna, ORC PNI referral (affects multiple features)"
1000275955, "MD in AL, Telehealth (affects multiple features)"
1000281799, "MD, ORC conducted (affects multiple features)"
1000282394, "Conc tx, IP work (affects multiple features)"
1000286450, "ORC in Feb 23, Incident to only (affects multiple features)"
1000287538, "Case had a tip, Sent to network (affects multiple features)"
1000288616, "PhD in MO, ORC necessary (affects multiple features)"
1000290491, "MD in MO, All E/Ms and TMS (affects multiple features)"
1000291082, "States and add-on codes, 2 TINS (affects multiple features)"
1000292943, "Needs monitoring (affects multiple features)"
1000293325, "Triggered for cctx and states (affects multiple features)"
1000296322, "99.8% billing at 3B, No patterns of concern (affects multiple features)"
1000302230, "Flag requested (affects multiple features)"
1000302979, "NB has case, PNI referral (affects multiple features)"
1000308995, "Triggered for add ons (affects multiple features)"
1000309406, "Triggered for states (affects multiple features)"
1000309849, "ORC, Acknowledged billing (affects multiple features)"
1000309870, "ORC was being scheduled (affects multiple features)"
1000312947, "2I in RI, Check with network (affects multiple features)"
1000342543, "Re-ran PPAs, EDW only (affects multiple features)"
1000347454, "Billing is primarily HCPC (affects multiple features)"
