PRCP ID,Comment Score,Comment Score Reason,Comments
1000019745,0.7,Tip received and monitoring pending - suggests a need for follow-up,tip rec'd 4/5-missed tip follow up----came in 4/5.  Monitoring due---7/12/23:  Data mined---need to staff
1000040019,0.5,Triggered for different states - billing HCPCs codes - closed after review,6/2/23-Sent to Gayna from kathleen-all TINS coming up were FL…majority of billing on is HCPCs codes.  EDW search did not include provider name on options---left all providers in report.  Run 3B group---no individual patterns.  No individual patterns---Send to PS to review -consideration.  6/29/23:  closed.  Triggered for differnet states only.  All E/M codes and provdier is MAT provdier.
1000057290,0.3,Minor non-MD billing - pass as possibly done in consultative role,6/16/2023:  GH Only non MD code that comes is 90791-Some of these were on an IP unit; not clear that he was not doing these as consults and not prescribing meds--billing for the codes was about $5K-pass; no other patterns…
1000061733,0.25,ORC addressed billing for others - improved patterns - case closed,6/20/23:  ORC occurred in 2/13/23-provider was billing for others.  PNI referral doen.  Close case; pattenrsn improved…
1000089256,0.15,PHD provider with longer days as the only pattern - holding all SP cases - no other concerns - case closing,5/1/23:  Provider is a PHD - only pattern is longer days. Holding all SP cases at this time with no other patterns. Next steps: Close cas
1000110101,0.15,Non-MD codes old - primarily H0015 HCPC billing - minimal concern,5/25/23:  Pass--all non MD codes were old. is primarily exposure - H0015 top HCPC 
1000111750,0.05,No billing since January - case closed,5/12/23-no billing since Jan 23---close case. 
1000111835,0.2,Old long days - one-off code combinations - no current concerns - pass,5/16/23:  re-run EDW PPA-PhD - WI-triggered for long days - states - long days are older - code combos are one-offs - psych testing- looked okay.  Pass
1000134212,0.05,Case open with non-response - psych testing not warranting ORC - closing case,5/12/23: Case was open - but non response was not engaged--had psych testing ---will close case. Psych testing does not warrant ORC based on exposure.
1000146589,0.55,In scheduling process for review - potential risk pending evaluation,Open to Gayna---in scheduling process as of 5/17/23
1000168187,0.2,No current long days - minor cross billing issue - primarily add ons and E/Ms - pass,5/15/23:  FL no currently long days. This is a pass….1 cross biling issues - nothing to outreach on---only doing add ons and EMS.  There 
1000176304,0.3,Billing aligns with provider's state - codes out of PM scope,7/10/23:  shows TN on report - but in PLINX these TINS are in OH and all billing in in OH.  Codes billed are out of scope for PM-ASAM 3.5 and 3.7  
